Baseline Average Throughput,ML Average Throughput,Baseline Sticky Events,ML Sticky Events
88.2,85.4,3,0
85.8,88.2,3,0
95.4,88.2,2,0
93.8,95.4,2,0
86.0,85.8,3,0
94.6,88.2,2,0
93.4,95.8,2,0
89.2,85.0,3,0
92.2,91.0,2,0
84.4,86.8,3,0
95.0,91.6,2,0
90.6,85.8,2,0
91.6,90.0,2,0
91.0,92.8,2,0
93.0,90.2,2,0
90.0,93.8,2,0
86.4,94.6,3,0
84.8,87.0,3,0
91.0,86.8,2,0
92.2,87.0,2,0
85.2,93.4,3,0
85.2,93.2,3,0
92.0,91.2,2,0
86.8,90.2,3,0
91.4,87.6,2,0
91.2,90.8,2,0
85.2,86.8,3,0
89.6,85.0,3,0
89.2,86.6,3,0
95.8,90.0,2,0
89.0,88.8,3,0
88.4,84.0,3,0
95.8,90.8,2,0
89.0,89.8,3,0
87.2,94.6,3,0
95.0,92.0,2,0
89.4,92.0,3,0
93.4,94.2,2,0
92.2,91.6,2,0
86.2,91.8,3,0
90.8,84.2,2,0
88.4,84.8,3,0
85.2,87.6,3,0
87.8,91.2,3,0
84.8,95.4,3,0
86.0,95.2,3,0
84.0,84.0,3,0
84.8,84.6,3,0
92.2,91.0,2,0
89.8,88.8,3,0
90.6,84.8,2,0
86.8,94.0,3,0
85.6,86.6,3,0
87.8,90.8,3,0
91.4,92.6,2,0
90.2,86.4,2,0
89.2,89.8,3,0
85.6,86.4,3,0
95.8,87.2,2,0
92.4,94.0,2,0
84.4,87.4,3,0
87.8,90.8,3,0
92.2,91.8,2,0
86.8,92.0,3,0
93.8,95.6,2,0
88.0,88.8,3,0
89.4,93.6,3,0
93.2,84.6,2,0
92.0,91.6,2,0
95.2,89.6,2,0
93.8,89.6,2,0
87.2,85.2,3,0
95.0,90.2,2,0
93.8,87.4,2,0
86.0,85.8,3,0
87.4,90.4,3,0
93.8,92.8,2,0
90.4,85.0,2,0
93.8,87.6,2,0
93.4,90.2,2,0
